                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.7897,                 1.6439,                 1.5576,                0.32328,                0.43802,                0.32836,                0.09722,                 2.3764,                 2.1767,                 2.1475,              0.0013466,              0.0013466,              0.0013466
                     35,                 1.7042,                 1.6771,                 1.4995,                 0.3356,                0.40913,                0.31324,                 0.0942,                 2.3511,                 2.2829,                 2.1552,              0.0013268,              0.0013268,              0.0013268
                     36,                 1.7035,                 1.7244,                 1.4631,                0.32059,                0.40496,                0.29692,                0.09551,                 2.3179,                 2.2485,                 2.1344,               0.001307,               0.001307,               0.001307
                     37,                 1.6442,                 1.9341,                 1.4601,                0.39035,                0.47934,                 0.3578,                 0.1229,                 2.2509,                 2.1156,                 2.0941,              0.0012872,              0.0012872,              0.0012872
                     38,                 1.7631,                 1.8342,                  1.517,                0.42006,                0.47934,                0.38634,                0.12533,                 2.1988,                 2.0054,                 2.0738,              0.0012674,              0.0012674,              0.0012674
                     39,                 1.7042,                 1.7163,                 1.5224,                0.43847,                0.52066,                0.41933,                0.14194,                 2.1352,                 1.9723,                 2.0295,              0.0012476,              0.0012476,              0.0012476
                     40,                 1.7238,                 1.8394,                 1.5223,                0.38568,                0.60331,                0.41118,                0.14547,                 2.1156,                 1.9085,                 1.9736,              0.0012278,              0.0012278,              0.0012278
                     41,                 1.6953,                 1.6411,                 1.4984,                0.44393,                0.47934,                0.40267,                0.14523,                 2.1478,                  1.879,                 1.9749,               0.001208,               0.001208,               0.001208
                     42,                 1.6334,                 1.8108,                 1.4828,                0.41504,                0.50413,                0.38363,                 0.1424,                 2.1908,                 1.9346,                 2.0109,              0.0011882,              0.0011882,              0.0011882
                     43,                 1.6744,                 1.6285,                 1.4756,                0.44672,                0.50413,                0.39444,                0.14284,                 2.1907,                 1.9569,                 2.0144,              0.0011684,              0.0011684,              0.0011684
                     44,                 1.6822,                 1.6268,                 1.4936,                0.47705,                0.42973,                0.39099,                0.14995,                 2.1288,                 1.9511,                 1.9678,              0.0011486,              0.0011486,              0.0011486
                     45,                 1.6402,                 1.5854,                 1.4322,                 0.3897,                0.59106,                0.38274,                0.14223,                 2.1665,                   1.95,                 1.9928,              0.0011288,              0.0011288,              0.0011288
                     46,                 1.6367,                 1.6428,                 1.4494,                0.30742,                0.49587,                0.31554,                0.10479,                 2.2513,                 2.1235,                 2.0372,               0.001109,               0.001109,               0.001109
                     47,                 1.6596,                 1.6941,                  1.472,                0.30914,                0.48815,                 0.3134,                0.10235,                 2.2613,                 2.1391,                 2.0413,              0.0010892,              0.0010892,              0.0010892
                     48,                 1.6069,                 1.5592,                 1.4155,                0.31862,                0.44628,                 0.2988,                0.10352,                 2.2302,                  2.214,                 2.0309,              0.0010694,              0.0010694,              0.0010694
